,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement
26,27,麗臺科技股份有限公司,資深資料分析師【Big Data】,"1. 透過操作及分析數據以驅動有效的商業行動
2. 從大量且多維度的資料提出洞見及可行性策略
3. 使用者數據研究，設計實驗以驗證成效，透過分析多樣化的資料來呈現數據
4. 利用資料視覺化方式組織並發佈可信服的資料分析結果以提供解決方案
5. 其他專案及主管交辦事項",大學、碩士,"1. 透過操作及分析數據以驅動有效的商業行動
2. 從大量且多維度的資料提出洞見及可行性策略
3. 使用者數據研究，設計實驗以驗證成效，透過分析多樣化的資料來呈現數據
4. 利用資料視覺化方式組織並發佈可信服的資料分析結果以提供解決方案
5. 其他專案及主管交辦事項[]1. 二年以上量化分析相關經驗，具商業數據資料採集與處理分析實務經驗。
2. 具備良好溝通能力，及獨立之專案規劃能力。
3. 具資料倉儲概念，及基本Machine Learning相關知識，具Python, R, SQL開發經驗。
4. 具網站、手機App開發/產品管理/使用者體驗/行銷等方面知識者佳。"
27,28,薩摩亞商鳳之梧數位科技有限公司台灣分公司,DBA資料庫分析師,"1.	大型網站後端DB規劃`效能調教`備援`轉移及復原處理。
2.	制定 SQL Server 的監控指標與應對機制，管理各項資料庫資源的使用，包含使用數量、使用空間、系統資源（CPU、Memory、IO）。
3.	實施各式資料庫執行效能優化方式，ex. SQL 語法效調(SQL Tuning)、索引規劃(Index)、資料分割(Partition Table)、資料壓縮等。
4.	熟悉 SQL 語法，有能力審閱 Store Procedure、Function、Trigger。
5.	DB版控管理。
6.	建置 High Availability (HA)，創建最佳資料庫架構。
7.	熟悉No-SQL: Mongo` Redis` Memcached 等。
8.	應對DB高併發巨量請求的應對處理機制。
9.	撰寫Script進行日常工作或監控自動化。
10.	具備CI/CD 經驗及 雲端DB使用經驗(如AWS RDS) 尤佳。
11.	資料庫相關技術諮詢及RD/DBA相關教育訓練。",專科、大學、碩士,"1.	大型網站後端DB規劃`效能調教`備援`轉移及復原處理。
2.	制定 SQL Server 的監控指標與應對機制，管理各項資料庫資源的使用，包含使用數量、使用空間、系統資源（CPU、Memory、IO）。
3.	實施各式資料庫執行效能優化方式，ex. SQL 語法效調(SQL Tuning)、索引規劃(Index)、資料分割(Partition Table)、資料壓縮等。
4.	熟悉 SQL 語法，有能力審閱 Store Procedure、Function、Trigger。
5.	DB版控管理。
6.	建置 High Availability (HA)，創建最佳資料庫架構。
7.	熟悉No-SQL: Mongo` Redis` Memcached 等。
8.	應對DB高併發巨量請求的應對處理機制。
9.	撰寫Script進行日常工作或監控自動化。
10.	具備CI/CD 經驗及 雲端DB使用經驗(如AWS RDS) 尤佳。
11.	資料庫相關技術諮詢及RD/DBA相關教育訓練。[{'code': '12001004031', 'description': 'MS SQL'}]擅長MS-SQL` MariaDB ` SMSS ` MongoDB `Redis"
28,29,中華電信關係企業_神腦國際企業股份有限公司,資深數據資料分析師,"1. 使用統計、機器學習等方法和分析工具協助公司掌握市場動態和產業趨勢，以提高競爭力。
2. 協助營運單位分析數據、建立模型、商業化解讀分析結果，並協同轉化成可執行方案，並追蹤方案成效。
3. 執行客戶行為與屬性的分析與預測、全通路商品或事件的個人化推薦與預測、客戶相關軌跡演算分析與預測。
4. 利用數據分析與儀表板設計軟體將分析的結果進行資料視覺化。",大學、碩士,"1. 使用統計、機器學習等方法和分析工具協助公司掌握市場動態和產業趨勢，以提高競爭力。
2. 協助營運單位分析數據、建立模型、商業化解讀分析結果，並協同轉化成可執行方案，並追蹤方案成效。
3. 執行客戶行為與屬性的分析與預測、全通路商品或事件的個人化推薦與預測、客戶相關軌跡演算分析與預測。
4. 利用數據分析與儀表板設計軟體將分析的結果進行資料視覺化。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}, {'code': '12001004007', 'description': 'Cognos'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001011001', 'description': 'Tableau'}]1. 熟悉資料庫 Oracle、Postgre SQL、MS SQL、MySQL。
2. 具備Python、R等語言開發程式。
3. 具Data Mining經驗，熟機器學習及深度學熟習技術佳。
4. 熟商業智慧視覺化報表工具Tableau、Cognos。"
29,30,廣達電腦股份有限公司,資料數據分析工程師/專員 - J1913,"1. 數據資料前處理（包含數據清洗、特徵工程、數據相關性分析）。
2. 資料可視化處理。
3. 演算法開發與建模。
4. 機器學習、深度學習或其他相關演算法應用。
5. 參與專案與系統架構流程規劃。
6. 工作待遇/職稱(助理工程師、工程師或專員)：將依學經歷進行敘薪。",大學、碩士,"1. 數據資料前處理（包含數據清洗、特徵工程、數據相關性分析）。
2. 資料可視化處理。
3. 演算法開發與建模。
4. 機器學習、深度學習或其他相關演算法應用。
5. 參與專案與系統架構流程規劃。
6. 工作待遇/職稱(助理工程師、工程師或專員)：將依學經歷進行敘薪。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003009', 'description': 'C#'}]1. 熟悉數值分析理論、多變量分析方法與實作為佳。
2. 熟悉單變量SPC、多變量SPC技術為佳。
3. 熟悉機器學習及深度學習理論，並具備實作技術為佳。 
4. 熟悉Python及下列一種語言：C、C++、C#為佳。
5. 熟悉numpy、pandas、SKLearn或其他數據處理、機器學習工具為佳。
6. 熟悉Keras、Tensorflow、Pytorch、Caffe或其他深度學習平台為佳。
7. 熟悉Matplotlib或其他資料可視化工具為佳。"
30,31,國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】資料科學分析師 -數據應用 (數數發中心,DDT)","【職務說明】
1. 協助資料導入及自動化開發
2. 數據介接、清洗、處理與數據模型的程式開發
3. 與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發
4. 控管資料處理架構與品質",大學以上,"【職務說明】
1. 協助資料導入及自動化開發
2. 數據介接、清洗、處理與數據模型的程式開發
3. 與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發
4. 控管資料處理架構與品質[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001020', 'description': 'Shell'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}, {'code': '12001005022', 'description': 'hadoop'}, {'code': '12003004004', 'description': 'Hive'}]【應徵條件】
1.熟悉 SQL statement
2.熟悉大數據 ETL，並善於使用以下工具 Spark/Hive (beeline)
3.具基本 Hadoop 及相關 Eco-system 知識
4.熟悉 Linux 程式開發環境與 Shell Script 的使用
5.熟悉 Git 版控模式與工具
6.Python/Spark資料處理及自動化開發經驗

【其他條件】
1.熟悉金融業資料，並具備數據處理經驗
2.熟悉以下或其他結構化或非結構化數據儲存平台 如：Elastic Stack / MongoDB
3.具統計方法、機器學習、或是深度學習相關概念"
31,32,意藍資訊股份有限公司,產品分析師 (PeopleView人群資料庫),"本公司為第三方數據服務領導品牌，整合多方 Data Partner 資料並利用大數據 / AI / 語意分析技術，建構《PeopleView 人群資料庫》，提供企業人群描繪資料用以深化會員資料庫、會員溝通優化；同時亦將資料應用於精準廣告人群定向，為企業、廣告投放夥伴優化廣告成效，並成為 Google DoubleClick、The Trade Desk重要的數據合作伙伴。為持續精進產品與服務品質，找尋並培育數據+科技+行銷 跨領域人才，共同建構具技術與市場影響力的數據產品。

此職務為產品部門PM角色，須與各部門溝通協調，負責產品發展與服務品質優化、資料價值挖掘，如果你具資訊、網站前端知識、熟悉數位廣告產業，又喜歡挑戰自己，那我們的工作項目非常適合你：
1.產品分析與功能價值：運用資料處理能力(資料處理、資料清理、格式與內容轉換…等)與分析能力(資料視覺化、統計檢定/分析、機器學習/深度學習…等)進行產品品質提升建議、除錯、或產品應用報告產出；並建構產品分析功能模組，設計資料實驗方法、實驗步驟，並執行相關實驗，以提升產品價值。
2.快速的產品開發：進行跨部門溝通(研發工程部門、業務部門、分析部門等)，了解需求與產品市場，並管理/執行各項產品開發流程。
3.外部溝通：與客戶、合作夥伴等溝通協調，確認合作模式、專案、服務等流程順利進行，最大化合作價值。
4.各種有趣事項。",大學、碩士,"本公司為第三方數據服務領導品牌，整合多方 Data Partner 資料並利用大數據 / AI / 語意分析技術，建構《PeopleView 人群資料庫》，提供企業人群描繪資料用以深化會員資料庫、會員溝通優化；同時亦將資料應用於精準廣告人群定向，為企業、廣告投放夥伴優化廣告成效，並成為 Google DoubleClick、The Trade Desk重要的數據合作伙伴。為持續精進產品與服務品質，找尋並培育數據+科技+行銷 跨領域人才，共同建構具技術與市場影響力的數據產品。

此職務為產品部門PM角色，須與各部門溝通協調，負責產品發展與服務品質優化、資料價值挖掘，如果你具資訊、網站前端知識、熟悉數位廣告產業，又喜歡挑戰自己，那我們的工作項目非常適合你：
1.產品分析與功能價值：運用資料處理能力(資料處理、資料清理、格式與內容轉換…等)與分析能力(資料視覺化、統計檢定/分析、機器學習/深度學習…等)進行產品品質提升建議、除錯、或產品應用報告產出；並建構產品分析功能模組，設計資料實驗方法、實驗步驟，並執行相關實驗，以提升產品價值。
2.快速的產品開發：進行跨部門溝通(研發工程部門、業務部門、分析部門等)，了解需求與產品市場，並管理/執行各項產品開發流程。
3.外部溝通：與客戶、合作夥伴等溝通協調，確認合作模式、專案、服務等流程順利進行，最大化合作價值。
4.各種有趣事項。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}]特質-
學習能力強
態度積極認真負責
可適應快速變動的環境
具團隊精神且溝通能力佳
思考縝密具有架構性
其他能力-
具備統計與數據分析能力
具備基本資料處理程式語言能力佳(Python/R)
具數位廣告相關經驗佳
有產品規畫經驗佳
"
32,33,伊雲谷數位科技股份有限公司,Data Scientist 資料科學家_數據分析師,"面對真實世界的複雜問題，運用資料科學與數據分析專業，協助客戶掌握有價值的資料並獲得洞見，
本職務將接觸到廣泛的產業領域，包含金融業、科技業、製造業、政府機關、法人機構、上市櫃公司...等大型企業。

職務內容：
1. 與客戶溝通了解客戶需求目的、想解決的問題與希望獲得的商業價值
2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助客戶進行數據處理(清洗、ETL、標籤、特徵提取等)
3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程
4. 進行各種數據追蹤和分析，針對商業問題提供有用數據、評估與應用在客戶環境中，並持續優化與修正。
5. 將數據結果給予最佳的視覺化建議與呈現
6. 引導客戶學習使用並協助客戶洞察數據，提供有效的決策支援。
本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗
2. 熟悉程式與分析應用，如 Python, R, SPSS, MATLAB, SAS 等
3. 熟悉大數據生態系(Big Data Ecosystem)，如 Hadoop, Spark, MapReduce, Hive 等
4. 熟悉商業智慧(BI)工具，如 Tableau, QuickView, Qlik, PowerBI, Quicksight 等

",碩士,"面對真實世界的複雜問題，運用資料科學與數據分析專業，協助客戶掌握有價值的資料並獲得洞見，
本職務將接觸到廣泛的產業領域，包含金融業、科技業、製造業、政府機關、法人機構、上市櫃公司...等大型企業。

職務內容：
1. 與客戶溝通了解客戶需求目的、想解決的問題與希望獲得的商業價值
2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助客戶進行數據處理(清洗、ETL、標籤、特徵提取等)
3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程
4. 進行各種數據追蹤和分析，針對商業問題提供有用數據、評估與應用在客戶環境中，並持續優化與修正。
5. 將數據結果給予最佳的視覺化建議與呈現
6. 引導客戶學習使用並協助客戶洞察數據，提供有效的決策支援。
本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗
2. 熟悉程式與分析應用，如 Python, R, SPSS, MATLAB, SAS 等
3. 熟悉大數據生態系(Big Data Ecosystem)，如 Hadoop, Spark, MapReduce, Hive 等
4. 熟悉商業智慧(BI)工具，如 Tableau, QuickView, Qlik, PowerBI, Quicksight 等

[]1. 具備2年以上機器學習、人工智慧或類神經網路相關經驗，5年以上數據分析、處理等相關經驗
2. 具有策略邏輯思考、分析判斷與溝通能力
3. 對於數據與分析具有熱情。
4. 具有客戶經驗。
5. 熟悉雲端服務產品、SaaS、雲端佈建

確認投遞履歷前請先至伊雲谷官網及伊雲谷產品網站https://product.ecloudvalley.com 了解一下我們吧！"
33,34,意藍資訊股份有限公司,產品分析師 (資深/PeopleView人群資料庫),"本公司為第三方數據服務領導品牌，整合多方 Data Partner 資料並利用大數據 / AI / 語意分析技術，建構《PeopleView 人群資料庫》，提供企業人群描繪資料用以深化會員資料庫、會員溝通優化；同時亦將資料應用於精準廣告人群定向，為企業、廣告投放夥伴優化廣告成效，並成為 Google DoubleClick、The Trade Desk重要的數據合作伙伴。為持續精進產品與服務品質，找尋並培育數據+科技+行銷 跨領域人才，共同建構具技術與市場影響力的數據產品。

此職務為產品部門PM角色，須與各部門溝通協調，負責產品發展與服務品質優化、資料價值挖掘，如果你具資訊、網站前端知識、熟悉數位廣告產業，又喜歡挑戰自己，那我們的工作項目非常適合你：
1.產品分析與功能價值：運用資料處理能力(資料處理、資料清理、格式與內容轉換…等)與分析能力(資料視覺化、統計檢定/分析、機器學習/深度學習…等)進行產品品質提升建議、除錯、或產品應用報告產出；並建構產品分析功能模組，設計資料實驗方法、實驗步驟，並執行相關實驗，以提升產品價值。
2.快速的產品開發：進行跨部門溝通(研發工程部門、業務部門、分析部門等)，了解需求與產品市場，並管理/執行各項產品開發流程。
3.外部溝通：與客戶、合作夥伴等溝通協調，確認合作模式、專案、服務等流程順利進行，最大化合作價值。
4.各種有趣事項。",大學、碩士,"本公司為第三方數據服務領導品牌，整合多方 Data Partner 資料並利用大數據 / AI / 語意分析技術，建構《PeopleView 人群資料庫》，提供企業人群描繪資料用以深化會員資料庫、會員溝通優化；同時亦將資料應用於精準廣告人群定向，為企業、廣告投放夥伴優化廣告成效，並成為 Google DoubleClick、The Trade Desk重要的數據合作伙伴。為持續精進產品與服務品質，找尋並培育數據+科技+行銷 跨領域人才，共同建構具技術與市場影響力的數據產品。

此職務為產品部門PM角色，須與各部門溝通協調，負責產品發展與服務品質優化、資料價值挖掘，如果你具資訊、網站前端知識、熟悉數位廣告產業，又喜歡挑戰自己，那我們的工作項目非常適合你：
1.產品分析與功能價值：運用資料處理能力(資料處理、資料清理、格式與內容轉換…等)與分析能力(資料視覺化、統計檢定/分析、機器學習/深度學習…等)進行產品品質提升建議、除錯、或產品應用報告產出；並建構產品分析功能模組，設計資料實驗方法、實驗步驟，並執行相關實驗，以提升產品價值。
2.快速的產品開發：進行跨部門溝通(研發工程部門、業務部門、分析部門等)，了解需求與產品市場，並管理/執行各項產品開發流程。
3.外部溝通：與客戶、合作夥伴等溝通協調，確認合作模式、專案、服務等流程順利進行，最大化合作價值。
4.各種有趣事項。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}]特質-
學習能力強
態度積極認真負責
可適應快速變動的環境
具團隊精神且溝通能力佳
思考縝密具有架構性
其他能力-
具備統計與數據分析能力
具備基本資料處理程式語言能力佳(Python/R)
具數位廣告相關經驗佳
有產品規畫經驗佳
"
34,35,中國醫藥大學附設醫院,1M94-醫療智慧中心臨床資料組 臨床數據分析師,"1. 臨床資料清理
2. 影像標註處理
3. 數據資料分析
4. 相關文書處理",大學,"1. 臨床資料清理
2. 影像標註處理
3. 數據資料分析
4. 相關文書處理[]1.科系:公衛、醫管、醫技、護理、醫學相關科系，或非相關系所需具大數據或資料庫分析經驗2年以上
2.急救:BLS
3.具統計軟體、資料庫軟體、文書相關軟體、繪圖軟體能力者尤佳
4. 具大數據或資料庫分析經驗尤佳
"
35,36,威進國際資訊股份有限公司,資料倉儲分析師(台北),"1.處理大量原始資料進行資料清理及探索性分析
2.資料倉儲規劃、分析、建置。
3.資料倉儲model 優化及效能調整。
4.將資料視覺化, 產出分析報告或儀表板, 提供富有洞察力的數據協助營運決策
5.撰寫分析規格及流程文件 
",大學以上,"1.處理大量原始資料進行資料清理及探索性分析
2.資料倉儲規劃、分析、建置。
3.資料倉儲model 優化及效能調整。
4.將資料視覺化, 產出分析報告或儀表板, 提供富有洞察力的數據協助營運決策
5.撰寫分析規格及流程文件 
[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004009', 'description': 'Data Modeling'}, {'code': '12001004018', 'description': 'ETL'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004034', 'description': 'OLAP'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001011001', 'description': 'Tableau'}, {'code': '12001011012', 'description': 'Power BI\u200b'}, {'code': '12003004002', 'description': 'Data Architect'}, {'code': '12003004003', 'description': 'Data Marts'}, {'code': '12003005012', 'description': 'Teradata'}]"
36,37,中國醫藥大學附設醫院,1M94-醫療智慧中心臨床資料組 初級臨床數據分析師,"1. 臨床資料清理
2. 病歷資料分析
3. 影像數據資料分析
4. 相關文書處理",大學,"1. 臨床資料清理
2. 病歷資料分析
3. 影像數據資料分析
4. 相關文書處理[]1. 相關科系：公衛、醫管、醫技、護理、醫學
2. 具資訊護理師認證尤佳
3. 護理臨床經驗2年以上尤佳
4.急救證照：BLS
"
37,38,國泰金控_國泰金融控股股份有限公司,"資料科學分析師（Data Science R&D）- 資料科學實驗室(數數發中心, DDT)","隸屬於國泰金控下的資料科學實驗室 Cathay Data Lab Team，實驗室專注於開發與研究最新資料科學與人工智慧相關技術。
身為一名資料科學家與研究者，你必須適應 Cathay Data Lab Team 以下文化：
- 樂於互相分享，善於互相學習
- 主動發現問題，主動解決問題
- 討論風氣興盛，沒有階級之分

Cathay Data Lab Team 正在尋找優秀的機器學習及深度學習的專家，該職位將負責資料科學與人工智慧相關創新技術研究開發及概念性驗證。職務內容包括：
- 處理最前端的技術：研究或發表最新資料科學及人工智慧論文。如：Attention Model, Graph Neural Network, Neural Architecture Search, etc.
- 與各子公司業務團隊合作：應用機器/深度學習模型解決商業問題。如：客戶行為與屬性的分析與預測、商品或事件的推薦與預測。
- 建立快速且高效率的機器學習架構：與資料工程師合作，進行機器學習、深度學習的架構設計與開發。",大學以上,"隸屬於國泰金控下的資料科學實驗室 Cathay Data Lab Team，實驗室專注於開發與研究最新資料科學與人工智慧相關技術。
身為一名資料科學家與研究者，你必須適應 Cathay Data Lab Team 以下文化：
- 樂於互相分享，善於互相學習
- 主動發現問題，主動解決問題
- 討論風氣興盛，沒有階級之分

Cathay Data Lab Team 正在尋找優秀的機器學習及深度學習的專家，該職位將負責資料科學與人工智慧相關創新技術研究開發及概念性驗證。職務內容包括：
- 處理最前端的技術：研究或發表最新資料科學及人工智慧論文。如：Attention Model, Graph Neural Network, Neural Architecture Search, etc.
- 與各子公司業務團隊合作：應用機器/深度學習模型解決商業問題。如：客戶行為與屬性的分析與預測、商品或事件的推薦與預測。
- 建立快速且高效率的機器學習架構：與資料工程師合作，進行機器學習、深度學習的架構設計與開發。[]必要條件：
- 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享的態度。
- 擁有各式機器學習及深度學習相關理論知識，有能力說明原理及應用於實際場景。
- 擁有統計學相關理論知識，有能力說明原理及應用於實際場景。
- 熟悉在 Python 之中處理機器學習或是資料探勘。

加分條件
- 擁有在 Spark 框架下運算機器學習或資料探勘的經驗。
- 擁有成功參加資料競賽 (Kaggle, KDD Cup, Codalab, etc）的經驗。
- 熟悉任一深度學習框架 (TensorFlow, Caffe, PyTorch, Keras, etc)。
- 發表機器學習或人工智慧相關論文。
- 熟悉 Linux 的程式開發環境與 Shell Script 的使用。
- 具 Reinforcement Learning 相關經驗。
- 具 Graph embedding/ Graph Neural Network 相關經驗。"
38,39,艾奕康工程顧問股份有限公司,資料庫與數據分析師 Data and Analytics Engineer(建築與人居環境部-台北),"AECOM數位解決方案團隊正在尋找熟悉建築與都市工程產業的資料庫與數據工程師，應徵者將與AECOM亞太區各地的專案和市場行銷團隊合作，協助團隊研究並建構資料庫結構與數據分析機制，打造支援雲端協作、行為分析以及資料視覺化的AR／VR／Web設計輔助工具，一同為AEC（Architecture, Engineering and Construction）產業帶來革新的工作流程與設計觀點。 

應徵者需具備專案管理與產品規畫的實務經驗，並且可獨立完成資料庫建構、資料擷取、導入、分析解讀和應用等工作，實務上需熟悉資料結構、分析指標、資料庫語言SQL、雲端儲存(Azure, AWS)、前端和後端開發語言（如：HTML5、ASP.NET、Python等）。若同時具備資料視覺化或機器學習等技術概念者尤佳。 

AECOM為構築更美好的世界而生，我們為全球150多個國家的政府機構與企業組織提供規劃設計、財務策劃與基礎設施營運的全方位服務。身為一個高度專業整合的企業，AECOM具備完整的全球專業知識網路與國際經驗，可以協助客戶解決高度複雜的業務挑戰。從地標建築與基礎設施、永續發展與環境規劃以至於國防建設與國家發展，AECOM提供多樣化的服務，身為美國Fortune 500大企業與Engineering News-Record排名全球第一的設計顧問公司。

",大學、碩士,"AECOM數位解決方案團隊正在尋找熟悉建築與都市工程產業的資料庫與數據工程師，應徵者將與AECOM亞太區各地的專案和市場行銷團隊合作，協助團隊研究並建構資料庫結構與數據分析機制，打造支援雲端協作、行為分析以及資料視覺化的AR／VR／Web設計輔助工具，一同為AEC（Architecture, Engineering and Construction）產業帶來革新的工作流程與設計觀點。 

應徵者需具備專案管理與產品規畫的實務經驗，並且可獨立完成資料庫建構、資料擷取、導入、分析解讀和應用等工作，實務上需熟悉資料結構、分析指標、資料庫語言SQL、雲端儲存(Azure, AWS)、前端和後端開發語言（如：HTML5、ASP.NET、Python等）。若同時具備資料視覺化或機器學習等技術概念者尤佳。 

AECOM為構築更美好的世界而生，我們為全球150多個國家的政府機構與企業組織提供規劃設計、財務策劃與基礎設施營運的全方位服務。身為一個高度專業整合的企業，AECOM具備完整的全球專業知識網路與國際經驗，可以協助客戶解決高度複雜的業務挑戰。從地標建築與基礎設施、永續發展與環境規劃以至於國防建設與國家發展，AECOM提供多樣化的服務，身為美國Fortune 500大企業與Engineering News-Record排名全球第一的設計顧問公司。

[]Basic
1.	可獨立完成資料庫建置、資料擷取、導入、分析解讀和應用等工作 
2.	熟悉資料結構、分析指標、資料庫語言SQL和雲端儲存(Azure, AWS) 
3.	熟悉前後端開發語言（如：HTML5、ASP.NET、Python等）。 
4.	具備獨立操作的技術能力，同時擁有良好的合作精神和溝通技巧，且樂於互助和勇於承擔責任 
5.	喜愛具挑戰性與創新的工作環境 
6.	具備良好的中、英語溝通能力，樂於參與跨國／跨領域專案協作 
Plus
7.	具備相關專案管理與產品規畫的實務經驗 
8.	能擔任專案聯繫窗口，具備理解市場需求的能力，並能協助團隊推廣和行銷專案成果
9.	具備資料視覺化或機器學習技術的實務經驗
10.	具備建築與都市工程領域的基本認知
"
39,40,國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】資料科學分析師-數據分析 (數數發中心,DDT)","【職務說明】
1. 機器學習、深度學習或統計分析模型的實作開發，包含數據清洗、特徵工程及探索、模型建置與調參
2. 時間序列分析、自然語言處理(NLP)、社群網絡分析(SNA)或其他數據分析或演算法技術開發與實作
3. 配合數據技術發展目標，實作可落地實用之新興數據技術。",碩士以上,"【職務說明】
1. 機器學習、深度學習或統計分析模型的實作開發，包含數據清洗、特徵工程及探索、模型建置與調參
2. 時間序列分析、自然語言處理(NLP)、社群網絡分析(SNA)或其他數據分析或演算法技術開發與實作
3. 配合數據技術發展目標，實作可落地實用之新興數據技術。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001005022', 'description': 'hadoop'}, {'code': '12001007064', 'description': 'SNA'}, {'code': '12003004004', 'description': 'Hive'}]【應徵條件】
1.熟悉 Python 或 Julia
2.熟悉 SQL statement
3.機器學習、深度學習或統計模型的開發經驗，並有能力介紹其方法及原理
4.愛好自我學習、探索與分享的態度
【其他條件】
1.自然語言處理(NLP)、社群網絡分析(SNA)或其他數據分析經驗
2.具資料視覺化實作經驗與技能
3.熟悉Spark, Hadoop & Hive"
40,41,宇峻奧汀科技股份有限公司,遊戲數據分析工程師," - 彙整遊戲電磁紀錄，進行數據分析，為各業務策略提供數據支持。 
  - 依需求將遊戲數據視覺化, 產出分析報告或監控儀表板。 
  - 協助數據分析師建立統計分析方法。
  - 自動化各種資料流。",專科、大學、碩士," - 彙整遊戲電磁紀錄，進行數據分析，為各業務策略提供數據支持。 
  - 依需求將遊戲數據視覺化, 產出分析報告或監控儀表板。 
  - 協助數據分析師建立統計分析方法。
  - 自動化各種資料流。[{'code': '12001004032', 'description': 'MySQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001011001', 'description': 'Tableau'}, {'code': '12003005009', 'description': 'SAS'}]  - 熟悉資料庫語法，有管理經驗者佳(MySQL, MS SQL)
  - 熟悉統計、Tableau、SAS 等資料科學相關知識及工具。
  - 對遊戲產業有強烈熱忱，學習求知欲強，主動積極，擅長團隊合作。
  - 面試時攜帶相關作品。"
41,42,OpenNet_開網有限公司,BI Analyst_BI 數據分析師,"Responsibilities 
● Delivering clear analysis and reporting of core business metrics to shareholders.
● Creation and management of reports and dashboards.
● Monitoring the performance of key business products. 
● Providing actionable insight to drive growth of core products. 
● Extraction and analysis of large data sets from MySQL/Oracle DBs. 
● Ad hoc analysis and reporting to clients and shareholders.
",大學以上,"Responsibilities 
● Delivering clear analysis and reporting of core business metrics to shareholders.
● Creation and management of reports and dashboards.
● Monitoring the performance of key business products. 
● Providing actionable insight to drive growth of core products. 
● Extraction and analysis of large data sets from MySQL/Oracle DBs. 
● Ad hoc analysis and reporting to clients and shareholders.
[{'code': '12001004018', 'description': 'ETL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12003005009', 'description': 'SAS'}]Requirements 
●Proactive and self-driven with excellent analytical skills
●Previous experience in a data-driven role
●Excellent working knowledge of SQL
●Familiarity with other data and BI tools a plus
●Good communication skills
"
